Published,ISOWeek,Updated,ID,Version,Title,Categories
2026-03-30T17:59:56Z,14,2026-03-30T17:59:56Z,2603.28767,1,'Gen-Searcher: Reinforcing Agentic Search for Image Generation',cs.CV
2026-03-30T17:59:49Z,14,2026-03-30T17:59:49Z,2603.28766,1,'HandX: Scaling Bimanual Motion and Interaction Generation',cs.CV
2026-03-30T17:59:33Z,14,2026-03-30T17:59:33Z,2603.28765,1,'Adaptive Block-Scaled Data Types',cs.CL
2026-03-30T17:59:22Z,14,2026-03-30T17:59:22Z,2603.28764,1,'Geometry-aware similarity metrics for neural representations on Riemannian and statistical manifolds',cs.LG;cs.AI;math.DG;q-bio.NC
2026-03-30T17:59:18Z,14,2026-03-30T17:59:18Z,2603.28763,1,'PoseDreamer: Scalable and Photorealistic Human Data Generation Pipeline with Diffusion Models',cs.CV
2026-03-30T17:59:13Z,14,2026-03-30T17:59:13Z,2603.28762,1,'On-the-fly Repulsion in the Contextual Space for Rich Diversity in Diffusion Transformers',cs.CV;cs.AI;cs.GR;cs.LG
2026-03-30T17:58:27Z,14,2026-03-30T17:58:27Z,2603.28760,1,'SHOW3D: Capturing Scenes of 3D Hands and Objects in the Wild',cs.CV;cs.RO
2026-03-30T17:58:12Z,14,2026-03-30T17:58:12Z,2603.28759,1,'FlowIt: Global Matching for Optical Flow with Confidence-Guided Refinement',cs.CV
2026-03-30T17:57:47Z,14,2026-03-30T17:57:47Z,2603.28757,1,'SonoWorld: From One Image to a 3D Audio-Visual Scene',cs.CV;cs.MM;cs.SD
2026-03-30T17:54:55Z,14,2026-03-30T17:54:55Z,2603.28750,1,'Temporal Credit Is Free',cs.LG
2026-03-30T17:52:16Z,14,2026-03-30T17:52:16Z,2603.28744,1,"'Stop Probing, Start Coding: Why Linear Probes and Sparse Autoencoders Fail at Compositional Generalisation'",cs.LG
2026-03-30T17:51:47Z,14,2026-03-30T17:51:47Z,2603.28743,1,'Rethinking Language Model Scaling under Transferable Hypersphere Optimization',cs.LG
2026-03-30T17:50:54Z,14,2026-03-30T17:50:54Z,2603.28740,1,'FocusVLA: Focused Visual Utilization for Vision-Language-Action Models',cs.RO
2026-03-30T17:50:52Z,14,2026-03-30T17:50:52Z,2603.28739,1,'Expectation Error Bounds for Transfer Learning in Linear Regression and Linear Neural Networks',cs.LG;stat.ML
2026-03-30T17:50:07Z,14,2026-03-30T17:50:07Z,2603.28737,1,'ParaSpeechCLAP: A Dual-Encoder Speech-Text Model for Rich Stylistic Language-Audio Pretraining',eess.AS;cs.AI;cs.CL;cs.SD
2026-03-30T17:48:56Z,14,2026-03-30T17:48:56Z,2603.28735,1,'RAD-AI: Rethinking Architecture Documentation for AI-Augmented Ecosystems',cs.SE;cs.AI
2026-03-30T17:47:34Z,14,2026-03-30T17:47:34Z,2603.28733,1,'See it to Place it: Evolving Macro Placements with Vision-Language Models',cs.LG
2026-03-30T17:47:07Z,14,2026-03-30T17:47:07Z,2603.28732,1,'Pandora: Articulated 3D Scene Graphs from Egocentric Vision',cs.RO;cs.CV
2026-03-30T17:46:41Z,14,2026-03-30T17:46:41Z,2603.28731,1,'SAGAI-MID: A Generative AI-Driven Middleware for Dynamic Runtime Interoperability',cs.SE;cs.AI
2026-03-30T17:46:31Z,14,2026-03-30T17:46:31Z,2603.28730,1,'SOLE-R1: Video-Language Reasoning as the Sole Reward for On-Robot Reinforcement Learning',cs.RO;cs.CL;cs.CV
2026-03-30T17:35:14Z,14,2026-03-30T17:35:14Z,2603.28718,1,'Stepwise Credit Assignment for GRPO on Flow-Matching Models',cs.LG;cs.AI;cs.CV
2026-03-30T17:32:11Z,14,2026-03-30T17:32:11Z,2603.28716,1,'Dynamic Dual-Granularity Skill Bank for Agentic RL',cs.AI
2026-03-30T17:30:25Z,14,2026-03-30T17:30:25Z,2603.28713,1,'DreamLite: A Lightweight On-Device Unified Model for Image Generation and Editing',cs.CV
2026-03-30T17:27:33Z,14,2026-03-30T17:27:33Z,2603.28708,1,'GPU-Accelerated Optimization of Transformer-Based Neural Networks for Real-Time Inference',cs.LG;cs.DC
2026-03-30T17:26:13Z,14,2026-03-30T17:26:13Z,2603.28707,1,'A Convex Route to Thermomechanics: Learning Internal Energy and Dissipation',cs.CE;cs.AI
2026-03-30T17:16:08Z,14,2026-03-30T17:16:08Z,2603.28698,1,'EpiScreen: Early Epilepsy Detection from Electronic Health Records with Large Language Models',cs.CL
2026-03-30T17:14:15Z,14,2026-03-30T17:14:15Z,2603.28696,1,'AdaptToken: Entropy-based Adaptive Token Selection for MLLM Long Video Understanding',cs.CV;cs.AI
2026-03-30T17:12:17Z,14,2026-03-30T17:12:17Z,2603.28691,1,"'DRIVE-Nav: Directional Reasoning, Inspection, and Verification for Efficient Open-Vocabulary Navigation'",cs.RO
2026-03-30T17:10:19Z,14,2026-03-30T17:10:19Z,2603.28690,1,'Vision-Based Robotic Disassembly Combined with Real-Time MFA Data Acquisition',cs.RO;cs.CE
2026-03-30T16:59:53Z,14,2026-03-30T16:59:53Z,2603.28681,1,'Functional Natural Policy Gradients',stat.ML;cs.LG
2026-03-30T16:58:13Z,14,2026-03-30T16:58:13Z,2603.28678,1,'Subspace Optimization for Backpropagation-Free Continual Test-Time Adaptation',cs.LG
2026-03-30T16:56:54Z,14,2026-03-30T16:56:54Z,2603.28675,1,'Why Aggregate Accuracy is Inadequate for Evaluating Fairness in Law Enforcement Facial Recognition Systems',cs.CV;cs.AI;cs.LG
2026-03-30T16:56:54Z,14,2026-03-30T16:56:54Z,2603.28674,1,'Serialized Red-Green-Gray: Quicker Heuristic Validation of Edges in Dynamic Roadmap Graphs',cs.RO
2026-03-30T16:56:38Z,14,2026-03-30T16:56:38Z,2603.28673,1,'FL-PBM: Pre-Training Backdoor Mitigation for Federated Learning',cs.LG;cs.CR;cs.DC
2026-03-30T16:52:29Z,14,2026-03-30T16:52:29Z,2603.28670,1,'Sim-to-Real Fruit Detection Using Synthetic Data: Quantitative Evaluation and Embedded Deployment with Isaac Sim',cs.CV;cs.RO
2026-03-30T16:48:51Z,14,2026-03-30T16:48:51Z,2603.28662,1,'AMIGO: Agentic Multi-Image Grounding Oracle Benchmark',cs.LG;cs.AI
2026-03-30T16:46:40Z,14,2026-03-30T16:46:40Z,2603.28660,1,'Industrial3D: A Terrestrial LiDAR Point Cloud Dataset and CrossParadigm Benchmark for Industrial Infrastructure',cs.CV
2026-03-30T16:45:16Z,14,2026-03-30T16:45:16Z,2603.28658,1,'Divide and Restore: A Modular Task-Decoupled Framework for Universal Image Restoration',cs.CV
2026-03-30T16:40:11Z,14,2026-03-30T16:40:11Z,2603.28653,1,'BACE: LLM-based Code Generation through Bayesian Anchored Co-Evolution of Code and Test Populations',cs.NE;cs.SE
2026-03-30T16:39:02Z,14,2026-03-30T16:39:02Z,2603.28652,1,'Mitigating Backdoor Attacks in Federated Learning Using PPA and MiniMax Game Theory',cs.LG;cs.CR;cs.DC;cs.GT
2026-03-30T16:34:37Z,14,2026-03-30T16:34:37Z,2603.28650,1,'Information-Theoretic Limits of Safety Verification for Self-Improving Systems',cs.LG;cs.AI;stat.ML
2026-03-30T16:25:58Z,14,2026-03-30T16:25:58Z,2603.28644,1,'Constructing Composite Features for Interpretable Music-Tagging',cs.SD;cs.LG;cs.MM
2026-03-30T16:25:37Z,14,2026-03-30T16:25:37Z,2603.28643,1,'The Ultimate Tutorial for AI-driven Scale Development in Generative Psychometrics: Releasing AIGENIE from its Bottle',cs.AI;cs.CL;cs.HC
2026-03-30T16:09:26Z,14,2026-03-30T16:09:26Z,2603.28625,1,'Dynamic Lookahead Distance via Reinforcement Learning-Based Pure Pursuit for Autonomous Racing',cs.RO;cs.AI;eess.SY
2026-03-30T16:07:11Z,14,2026-03-30T16:07:11Z,2603.28622,1,'Trust-Aware Routing for Distributed Generative AI Inference at the Edge',cs.DC;cs.AI;cs.NI
2026-03-30T16:03:56Z,14,2026-03-30T16:03:56Z,2603.28618,1,'Seeing with You: Perception-Reasoning Coevolution for Multimodal Reasoning',cs.AI
2026-03-30T15:59:16Z,14,2026-03-30T15:59:16Z,2603.28613,1,'TGIF2: Extended Text-Guided Inpainting Forgery Dataset & Benchmark',cs.CV;cs.AI;cs.CR;cs.MM
2026-03-30T15:58:33Z,14,2026-03-30T15:58:33Z,2603.28611,1,'LACE: Loss-Adaptive Capacity Expansion for Continual Learning',cs.LG
2026-03-30T15:57:32Z,14,2026-03-30T15:57:32Z,2603.28610,1,'ResAdapt: Adaptive Resolution for Efficient Multimodal Reasoning',cs.CV;cs.AI;cs.CL
2026-03-30T15:54:47Z,14,2026-03-30T15:54:47Z,2603.28605,1,'Unsafe2Safe: Controllable Image Anonymization for Downstream Utility',cs.CV;cs.CY;cs.LG
2026-03-30T15:53:42Z,14,2026-03-30T15:53:42Z,2603.28603,1,'ELViS: Efficient Visual Similarity from Local Descriptors that Generalizes Across Domains',cs.CV
2026-03-30T15:44:53Z,14,2026-03-30T15:44:53Z,2603.28597,1,'Position: Explainable AI is Causality in Disguise',cs.LG
2026-03-30T15:42:38Z,14,2026-03-30T15:42:38Z,2603.28596,1,'Moving Beyond Review: Applying Language Models to Planning and Translation in Reflection',cs.HC;cs.AI;cs.CL
2026-03-30T15:41:59Z,14,2026-03-30T15:41:59Z,2603.28595,1,'Optimistic Actor-Critic with Parametric Policies for Linear Markov Decision Processes',cs.LG;stat.ML
2026-03-30T15:41:49Z,14,2026-03-30T15:41:49Z,2603.28594,1,'Detection of Adversarial Attacks in Robotic Perception',cs.CV;cs.AI;cs.CR;cs.RO
2026-03-30T15:40:28Z,14,2026-03-30T15:40:28Z,2603.28593,1,'Physics-Informed Framework for Impact Identification in Aerospace Composites',cs.LG;physics.app-ph
2026-03-30T15:37:51Z,14,2026-03-30T15:37:51Z,2603.28591,1,'Universal Approximation Constraints of Narrow ResNets: The Tunnel Effect',math.DS;cs.LG
2026-03-30T15:37:42Z,14,2026-03-30T15:37:42Z,2603.28590,1,'MonitorBench: A Comprehensive Benchmark for Chain-of-Thought Monitorability in Large Language Models',cs.AI
2026-03-30T15:37:25Z,14,2026-03-30T15:37:25Z,2603.28589,1,'Towards a Medical AI Scientist',cs.AI;cs.LG
2026-03-30T15:33:26Z,14,2026-03-30T15:33:26Z,2603.28584,1,'ORSIFlow: Saliency-Guided Rectified Flow for Optical Remote Sensing Salient Object Detection',cs.CV
2026-03-30T15:32:24Z,14,2026-03-30T15:32:24Z,2603.28583,1,'Navigating the Mirage: A Dual-Path Agentic Framework for Robust Misleading Chart Question Answering',cs.CV;cs.AI;cs.MM
2026-03-30T15:30:58Z,14,2026-03-30T15:30:58Z,2603.28581,1,'A Self-Rotating Tri-Rotor UAV for Field of View Expansion and Autonomous Flight',cs.RO
2026-03-30T15:29:49Z,14,2026-03-30T15:29:49Z,2603.28579,1,'EBuddy: a workflow orchestrator for industrial human-machine collaboration',cs.RO
2026-03-30T15:28:36Z,14,2026-03-30T15:28:36Z,2603.28575,1,'ChemCLIP: Bridging Organic and Inorganic Anticancer Compounds Through Contrastive Learning',cs.LG;cs.AI
2026-03-30T15:28:13Z,14,2026-03-30T15:28:13Z,2603.28573,1,'Learning Partial Action Replacement in Offline MARL',cs.LG;cs.AI;cs.MA
2026-03-30T15:26:56Z,14,2026-03-30T15:26:56Z,2603.28572,1,'Unrestrained Simplex Denoising for Discrete Data. A Non-Markovian Approach Applied to Graph Generation',cs.LG
2026-03-30T15:26:00Z,14,2026-03-30T15:26:00Z,2603.28569,1,'CirrusBench: Evaluating LLM-based Agents Beyond Correctness in Real-World Cloud Service Environments',cs.LG;cs.AI;cs.IR;cs.PF
2026-03-30T15:24:34Z,14,2026-03-30T15:24:34Z,2603.28568,1,'XSPA: Crafting Imperceptible X-Shaped Sparse Adversarial Perturbations for Transferable Attacks on VLMs',cs.CV
2026-03-30T15:23:27Z,14,2026-03-30T15:23:27Z,2603.28565,1,'StreamingVLA: Streaming Vision-Language-Action Model with Action Flow Matching and Adaptive Early Observation',cs.RO;cs.CV
2026-03-30T15:22:27Z,14,2026-03-30T15:22:27Z,2603.28561,1,'Fine-Tuning Large Language Models for Cooperative Tactical Deconfliction of Small Unmanned Aerial Systems',cs.RO;cs.AI
2026-03-30T15:22:00Z,14,2026-03-30T15:22:00Z,2603.28560,1,'Curriculum-Guided Myocardial Scar Segmentation for Ischemic and Non-ischemic Cardiomyopathy',cs.CV
2026-03-30T15:19:28Z,14,2026-03-30T15:19:28Z,2603.28558,1,"'T-Norm Operators for EU AI Act Compliance Classification: An Empirical Comparison of Lukasiewicz, Product, and Gödel Semantics in a Neuro-Symbolic Reasoning System'",cs.AI
2026-03-30T15:18:31Z,14,2026-03-30T15:18:31Z,2603.28555,1,'Domain-Invariant Prompt Learning for Vision-Language Models',cs.CV;cs.AI
2026-03-30T15:17:41Z,14,2026-03-30T15:17:41Z,2603.28554,1,'Hydra: Unifying Document Retrieval and Generation in a Single Vision-Language Model',cs.CV;cs.AI;cs.IR
2026-03-30T15:14:56Z,14,2026-03-30T15:14:56Z,2603.28553,1,'Multimodal Analytics of Cybersecurity Crisis Preparation Exercises: What Predicts Success?',cs.HC;cs.CY;cs.LG
2026-03-30T15:11:17Z,14,2026-03-30T15:11:17Z,2603.28550,1,'MarkushGrapher-2: End-to-end Multimodal Recognition of Chemical Structures',cs.CV
