Published,ISOWeek,Updated,ID,Version,Title,Categories
2026-04-20T17:59:49Z,17,2026-04-20T17:59:49Z,2604.18584,1,'MathNet: a Global Multimodal Benchmark for Mathematical Reasoning and Retrieval',cs.AI;cs.DL;cs.IR;cs.LG
2026-04-20T17:59:43Z,17,2026-04-20T17:59:43Z,2604.18583,1,'MUA: Mobile Ultra-detailed Animatable Avatars',cs.CV
2026-04-20T17:59:08Z,17,2026-04-20T17:59:08Z,2604.18580,1,'Sessa: Selective State Space Attention',cs.LG;cs.AI;cs.CL
2026-04-20T17:59:01Z,17,2026-04-20T17:59:01Z,2604.18578,1,'Bounded Ratio Reinforcement Learning',cs.LG;cs.AI
2026-04-20T17:57:51Z,17,2026-04-20T17:57:51Z,2604.18576,1,'Agentic Forecasting using Sequential Bayesian Updating of Linguistic Beliefs',cs.AI
2026-04-20T17:57:50Z,17,2026-04-20T17:57:50Z,2604.18575,1,'ReCap: Lightweight Referential Grounding for Coherent Story Visualization',cs.CV
2026-04-20T17:57:49Z,17,2026-04-20T17:57:49Z,2604.18574,1,'When Can LLMs Learn to Reason with Weak Supervision?',cs.LG;cs.AI
2026-04-20T17:57:02Z,17,2026-04-20T17:57:02Z,2604.18573,1,'T-REN: Learning Text-Aligned Region Tokens Improves Dense Vision-Language Alignment and Scalability',cs.CV
2026-04-20T17:56:02Z,17,2026-04-20T17:56:02Z,2604.18572,1,'Back into Platos Cave: Examining Cross-modal Representational Convergence at Scale',cs.CV;cs.AI;cs.LG
2026-04-20T17:55:47Z,17,2026-04-20T17:55:47Z,2604.18570,1,'A multimodal and temporal foundation model for virtual patient representations at healthcare system scale',cs.LG;cs.AI;cs.CL
2026-04-20T17:55:17Z,17,2026-04-20T17:55:17Z,2604.18569,1,'Revisiting Active Sequential Prediction-Powered Mean Estimation',stat.ML;cs.LG
2026-04-20T17:53:33Z,17,2026-04-20T17:53:33Z,2604.18567,1,'Latent Phase-Shift Rollback: Inference-Time Error Correction via Residual Stream Monitoring and KV-Cache Steering',cs.LG;cs.AI;cs.CL
2026-04-20T17:53:29Z,17,2026-04-20T17:53:29Z,2604.18566,1,'Benchmarking System Dynamics AI Assistants: Cloud Versus Local LLMs on CLD Extraction and Discussion',cs.AI;cs.HC;cs.LG
2026-04-20T17:52:15Z,17,2026-04-20T17:52:15Z,2604.18564,1,'MultiWorld: Scalable Multi-Agent Multi-View Video World Models',cs.CV
2026-04-20T17:51:26Z,17,2026-04-20T17:51:26Z,2604.18563,1,'Dual Alignment Between Language Model Layers and Human Sentence Processing',cs.CL
2026-04-20T17:49:22Z,17,2026-04-20T17:49:22Z,2604.18562,1,'AnchorSeg: Language Grounded Query Banks for Reasoning Segmentation',cs.CV
2026-04-20T17:47:31Z,17,2026-04-20T17:47:31Z,2604.18559,1,'ConforNets: Latents-Based Conformational Control in OpenFold3',q-bio.BM;cs.LG
2026-04-20T17:46:20Z,17,2026-04-20T17:46:20Z,2604.18557,1,'SynAgent: Generalizable Cooperative Humanoid Manipulation via Solo-to-Cooperative Agent Synergy',cs.CV
2026-04-20T17:45:47Z,17,2026-04-20T17:45:47Z,2604.18556,1,'GSQ: Highly-Accurate Low-Precision Scalar Quantization for LLMs via Gumbel-Softmax Sampling',cs.CL;cs.LG
2026-04-20T17:44:15Z,17,2026-04-20T17:44:15Z,2604.18555,1,'A Note on TurboQuant and the Earlier DRIVE/EDEN Line of Work',cs.LG
2026-04-20T17:41:00Z,17,2026-04-20T17:41:00Z,2604.18549,1,'Advancing Vision Transformer with Enhanced Spatial Priors',cs.CV
